"msgid","msgstr"
"""If checked, a customer will be created for every Patient. Patient Invoices will be created against this Customer. You can also select existing Customer while creating a Patient. This field is checked by default.""",إذا تم تحديده، سيتم إنشاء عميل لكل مريض. سيتم إنشاء فواتير المريض على هذا العميل. يمكنك أيضًا اختيار عميل موجود عند إنشاء المريض. هذا الحقل محدد افتراضيًا.
Edit Exercise Step,تعديل خطوة التمرين
Add Exercise Step,إضافة خطوة تمرين
"""Did not send SMS, missing patient mobile number or message content.""",لم يتم إرسال SMS، رقم جوال المريض أو محتوى الرسالة مفقود.
Send,إرسال
No Lab Tests found for the Patient {0},لم يتم العثور على اختبارات مخبرية للمريض {0}
Please select Patient to get Lab Tests,يرجى اختيار مريض لجلب الاختبارات المخبرية
"""Not permitted, configure Lab Test Template as required""",غير مسموح، يرجى تهيئة قالب الاختبار المخبري كما هو مطلوب
Send SMS,إرسال SMS
Actions,إجراءات
Approve,اعتماد
Creating Lab Tests...,جارٍ إنشاء الاختبارات المخبرية...
No Lab Tests created,لم يتم إنشاء اختبارات مخبرية
Create Multiple,إنشاء متعددة
Obese,سمنة
Overweight,زيادة وزن
Underweight,نقص وزن
Counts Completed: {0},العدد المكتمل: {0}
Counts Targeted: {0},العدد المستهدف: {0}
"""","</svg>"""
"""","""<svg class=""""icon  icon-sm"""" style="""""""">"
Additional Discount,خصم إضافي
Please set the Paid Amount first,يرجى تعيين المبلغ المدفوع أولًا
Are you sure you want to cancel this appointment?,هل أنت متأكد أنك تريد إلغاء هذا الموعد؟
Prescribed Therapies,العلاجات الموصوفة
Please select a Patient first,يرجى اختيار مريض أولًا
No Prescribed Procedures found for the selected Patient,لم يتم العثور على إجراءات موصوفة للمريض المحدد
Not Found,غير موجود
Reschedule Appointment,إعادة جدولة الموعد
Each slot indicates the capacity currently available for booking,كل فترة تشير إلى السعة المتاحة حاليًا للحجز
slots available for booking,فترات متاحة للحجز
No slots available for booking,لا توجد فترات متاحة للحجز
Maximum Capacity:,السعة القصوى:
Practitioner Schedule:,جدول الممارس:
Service Unit:,وحدة الخدمة:
Practitioner Availability:,توفر الممارس:
Patient has no fee validity,لا توجد صلاحية رسوم للمريض
Patient has fee validity till,صلاحية الرسوم للمريض حتى
Appointment date and Healthcare Practitioner are Mandatory,تاريخ الموعد وممارس الرعاية الصحية إلزاميان
Do not add Video Conferencing,عدم إضافة مؤتمرات الفيديو
Video Conferencing disabled for group consultations,تم تعطيل مؤتمرات الفيديو للاستشارات الجماعية
Fetching Available Slots...,جارٍ جلب الفترات المتاحة...
Loading...,جارٍ التحميل...
Available slots,الفترات المتاحة
Healthcare Practitioner {0} not available on {1},ممارس الرعاية الصحية {0} غير متاح في {1}
Please select a service request.,يرجى اختيار طلب خدمة.
Select a Service Request,اختر طلب خدمة
Please select a patient first,يرجى اختيار مريض أولًا
There are no Therapies prescribed for Patient {0},لا توجد علاجات موصوفة للمريض {0}
Not Therapies Prescribed,لا توجد علاجات موصوفة
Please select Patient first,يرجى اختيار المريض أولًا
Check Availability,تحقق من التوفر
Book,حجز
Make Payment,إجراء الدفع
Confirm,تأكيد
Reschedule,إعادة جدولة
Cancel,إلغاء
Time slots added,تمت إضافة الفترات الزمنية
Slots for {0} are not added to the schedule,لم تتم إضافة فترات {0} إلى الجدول
"""Schedules for {0} overlaps, do you want to proceed after skipping overlapped slots ?""",تتداخل الجداول لـ {0}، هل تريد المتابعة بعد تخطي الفترات المتداخلة؟
"""Time slot skiped, the slot {0} to {1} overlap exisiting slot {2} to {3}""",تم تخطي الفترة الزمنية، الفترة من {0} إلى {1} تتداخل مع الفترة الموجودة من {2} إلى {3}
Maximum Number of Appointments (Nos),الحد الأقصى لعدد المواعيد (عدد)
Create Slots,إنشاء فترات
Appointment Duration (mins),مدة الموعد (دقائق)
Select Days,اختر الأيام
Add Time Slots,إضافة فترات زمنية
{0} session completed,تم إكمال {0} جلسة
{0} sessions completed,تم إكمال {0} جلسات
Fetching Template Details,جارٍ جلب تفاصيل القالب
Prescribed Procedures,الإجراءات الموصوفة
Please select Patient to get prescribed procedure,يرجى اختيار مريض لجلب الإجراء الموصوف
Get from Patient Encounter,جلب من زيارة المريض
Stock quantity to start the Procedure is not available in the Warehouse {0}. Do you want to record a Stock Entry?,كمية المخزون لبدء الإجراء غير متاحة في المخزن {0}. هل تريد تسجيل قيد مخزون؟
Stock Entry {0} created,تم إنشاء قيد المخزون {0}
Complete {0}?,إكمال {0}؟
Complete {0} and Consume Stock?,إكمال {0} واستهلاك المخزون؟
Complete and Consume,إكمال واستهلاك
Please enter Item Code to get Batch Number,يرجى إدخال رمز الصنف للحصول على رقم الدفعة
out of {0},من أصل {0}
{0} medication order completed,تم إكمال {0} أمر دواء
{0} medication orders completed,تم إكمال {0} أمر دواء
Getting From Encounter,جارٍ الجلب من الزيارة
Please select a Patient Encounter to get from,يرجى اختيار زيارة مريض للجلب منها
Get From Encounter,جلب من الزيارة
Adding Order Entries,جارٍ إضافة إدخالات الأوامر
Add Medication Orders,إضافة أوامر أدوية
This is a root healthcare service unit and cannot be edited.,هذه وحدة خدمة رعاية صحية جذرية ولا يمكن تعديلها.
Healthcare Service Unit Tree,شجرة وحدات خدمة الرعاية الصحية
Creating {0} Service Units,جارٍ إنشاء {0} وحدة خدمة
Could not create Service Units,تعذر إنشاء وحدات الخدمة
{0} Service Units created,تم إنشاء {0} وحدة خدمة
Number of Service Units,عدد وحدات الخدمة
Will be serially suffixed to maintain uniquness. Example: 'Ward' will be named as 'Ward-####',سيتم إضافة لاحقة تسلسلية للحفاظ على التفرد. مثال: سيتم تسمية 'Ward' كـ 'Ward-####'
Service Unit Name,اسم وحدة الخدمة
Add Multiple Service Units,إضافة وحدات خدمة متعددة
Add Multiple,إضافة متعددة
"""Optional, if you want to manage stock separately for this Service Unit""",اختياري، إذا كنت تريد إدارة المخزون بشكل منفصل لهذه وحدة الخدمة
Sets the number of concurrent appointments allowed,يحدد عدد المواعيد المتزامنة المسموح بها
Type of the new Service Unit,نوع وحدة الخدمة الجديدة
Child nodes can be only created under 'Group' type nodes,يمكن إنشاء العقد الفرعية فقط تحت عقد من نوع 'مجموعة'
New Service Unit Name,اسم وحدة خدمة جديدة
Service Unit Tree,شجرة وحدة الخدمة
Print Barcode,طباعة الباركود
Please select atleast one specimen!,يرجى اختيار عينة واحدة على الأقل!
Sample Already Collected,تم جمع العينة بالفعل
View Lab Tests,عرض الاختبارات المخبرية
Marking Collected...,جارٍ وضع علامة تم الجمع...
Creating Observations! Please Wait...,جارٍ إنشاء الملاحظات! يرجى الانتظار...
Are you sure you want to mark selected samples as Collected,هل أنت متأكد أنك تريد وضع علامة تم الجمع على العينات المحددة
Mark Collected,وضع علامة تم الجمع
Fetching Pending Medication Orders,جارٍ جلب أوامر الأدوية المعلّقة
All the drugs are available with sufficient qty to process this Inpatient Medication Entry.,جميع الأدوية متوفرة بكمية كافية لمعالجة إدخال دواء المنوّمين هذا.
No Drug Shortage,لا يوجد نقص في الأدوية
Make Stock Entry,إنشاء قيد مخزون
Get PDF,الحصول على PDF
Please enable pop-ups,يرجى تفعيل النوافذ المنبثقة
No Letterhead,بدون ترويسة
Print Format,تنسيق الطباعة
Letter Head,رأس الخطاب
Print {0},طباعة {0}
Patient referral requests created successfully,تم إنشاء طلبات إحالة المريض بنجاح
Refer,إحالة
Medication Request(s) Created,تم إنشاء طلب/طلبات دواء
Service Request(s) Created,تم إنشاء طلب/طلبات خدمة
Nursing Tasks Created,تم إنشاء مهام التمريض
Create Nursing Tasks,إنشاء مهام التمريض
Please select patient,يرجى اختيار مريض
Selected service unit type doesn't have any item linked,نوع وحدة الخدمة المحدد لا يحتوي على أي صنف مرتبط
Scheduling Patient Admission,جارٍ جدولة دخول المريض
Order Admission,أمر دخول
Fetching Treatment Plans,جارٍ جلب خطط العلاج
Join video conference with {0},انضم إلى مؤتمر الفيديو مع {0}
Nursing Tasks,مهام التمريض
Please select Patient,يرجى اختيار مريض
Refer Patient,إحالة المريض
Schedule Admission,جدولة الدخول
Creating Insurance Coverage,جارٍ إنشاء تغطية التأمين
Creating Treatment Counselling,جارٍ إنشاء استشارة العلاج
Create Treatment Counselling,إنشاء استشارة علاج
Order Discharge,أمر بالخروج
Process Transfer,معالجة النقل
Check-in time cannot be greater than the current time,وقت تسجيل الدخول لا يمكن أن يكون أكبر من الوقت الحالي
Processing Patient Admission,جارٍ معالجة دخول المريض
Processing Inpatient Discharge, معالجة خروج المنوّم
Admit,تنويم
Cancel Admission,إلغاء الدخول
For Procedure,للإجراء
Generate Billables,توليد بنود قابلة للفوترة
Schedule Discharge,جدولة الخروج
Create/Link Code,إنشاء/ربط الرمز
Change Template Code,تغيير رمز القالب
Create/Link Item,إنشاء/ربط صنف
Please save the patient first,يرجى حفظ المريض أولًا
Please select a valid Date,يرجى اختيار تاريخ صالح
AGE,العمر
Medical Record,السجل الطبي
View,عرض
Invoice Patient Registration,فوترة تسجيل المريض
Browse Medication,تصفح الأدوية
New Medication,دواء جديد
New {0},جديد {0}
Hold,إيقاف مؤقت
Update Status,تحديث الحالة
Start,بدء
Therapy Session is already created,تم إنشاء جلسة العلاج بالفعل
Lab Test is already created,تم إنشاء الاختبار المخبري بالفعل
Clinical Procedure is already created,تم إنشاء الإجراء السريري بالفعل
Patient Appointment is already created,تم إنشاء موعد المريض بالفعل
Select Insurance Policy,اختر وثيقة التأمين
Create Insurance Coverage,إنشاء تغطية تأمين
Replaced,مستبدل
Not Active,غير نشط
No valid contract found with the Insurance Payor {0},لم يتم العثور على عقد صالح مع جهة الدفع التأمينية {0}
"""You can also set the Medical Department for the template. After saving the document, an Item will automatically be created for billing this Clinical Procedure. You can then use this template while creating Clinical Procedures for Patients. Templates save you from filling up redundant data every single time. You can also create templates for other operations like Lab Tests, Therapy Sessions, etc.""",يمكنك أيضًا تعيين القسم الطبي للقالب. بعد حفظ المستند، سيتم إنشاء صنف تلقائيًا لفوترة هذا الإجراء السريري. يمكنك بعد ذلك استخدام هذا القالب عند إنشاء إجراءات سريرية للمرضى. القوالب توفر عليك تعبئة البيانات المكررة في كل مرة. يمكنك أيضًا إنشاء قوالب لعمليات أخرى مثل الاختبارات المخبرية وجلسات العلاج، إلخ.
to know more,لمعرفة المزيد
Check this if the Clinical Procedure utilises consumables. Click,حدد هذا إذا كان الإجراء السريري يستخدم مستهلكات. انقر
Check this if the Clinical Procedure is billable and also set the rate.,حدد هذا إذا كان الإجراء السريري قابلًا للفوترة وقم أيضًا بتحديد السعر.
Clinical Procedure Rate,سعر الإجراء السريري
Select an Item Group for the Clinical Procedure Item.,اختر مجموعة أصناف لصنف الإجراء السريري.
Set the Item Code which will be used for billing the Clinical Procedure.,حدد رمز الصنف الذي سيُستخدم لفوترة الإجراء السريري.
Enter a name for the Clinical Procedure Template,أدخل اسمًا لقالب الإجراء السريري
Change Item Code,تغيير رمز الصنف
Syncing Documents ...,جارٍ مزامنة المستندات ...
Sync,مزامنة
Save,حفظ
Select Fields,اختر الحقول
{0} Fields,{0} حقول
No Data...,لا توجد بيانات...
Select Assessment Parameter,اختر معيار التقييم
Select Assessment Template,اختر قالب التقييم
Select Therapy Type,اختر نوع العلاج
Temperature,درجة الحرارة
Respiratory/Pulse Rate,معدل التنفس/النبض
More info,مزيد من المعلومات
Other risk factors,عوامل خطر أخرى
Occupational hazards,المخاطر المهنية
Surgical history,التاريخ الجراحي
Medical history,التاريخ الطبي
Tobacco past use,استخدام التبغ سابقًا
Tobacco use,استخدام التبغ
Alcohol past use,استخدام الكحول سابقًا
Alcohol use,استخدام الكحول
Allerigies,الحساسية
on {0},في {0}
Yesterday,أمس
Today,اليوم
No more records..,لا توجد سجلات أخرى..
Date Range,نطاق التاريخ
Select Document Type,اختر نوع المستند
Select Patient,اختر المريض
Appointment Status,حالة الموعد
Tree Type,نوع الشجرة
Yearly,سنوي
Quarterly,ربع سنوي
Show Completed Orders,إظهار الأوامر المكتملة
State,الولاية
City,المدينة
ZIP Code,الرمز البريدي
Address Line 2,سطر العنوان 2
Address Line 1,سطر العنوان 1
Primary Contact,جهة الاتصال الرئيسية
last Name,اسم العائلة
Middle Name,الاسم الأوسط
Years(s),سنة/سنوات
Submit,تقديم
Reason for Cancellation,سبب الإلغاء
Edit,تعديل
Edit Observation,تعديل الملاحظة
Add Observation,إضافة ملاحظة
"""Row #{0} Item under Insurance Coverage {1}, rate should be equal to approved rate{2}""",الصف #{0} الصنف ضمن تغطية التأمين {1}، يجب أن يكون السعر مساويًا للسعر المعتمد<b>{2}</b>
"""Row #{0} Item under Insurance Coverage {1}, quantity cannot be more than approved quantity {2}""",الصف #{0} الصنف ضمن تغطية التأمين {1}، لا يمكن أن تتجاوز الكمية الكمية المعتمدة <b>{2}</b>
Get Items from Prescriptions,جلب الأصناف من الوصفات
Please select Drug,يرجى اختيار دواء
Please select Healthcare Service,يرجى اختيار خدمة رعاية صحية
Get Items from Healthcare Services,جلب الأصناف من خدمات الرعاية الصحية
Patient {0} is not linked to a Customer,المريض <b>{0}</b> غير مرتبط بعميل
Get Items From,جلب الأصناف من
Please select a Patient to be invoiced,يرجى اختيار مريض لفوترته
Healthcare Services,خدمات الرعاية الصحية
Create Medication Request,إنشاء طلب دواء
Create,إنشاء
Create Service Request,إنشاء طلب خدمة
Done,تم
Edit Clinical Note,تعديل الملاحظة السريرية
Add Clinical Note,إضافة ملاحظة سريرية
Add,إضافة
Reject,رفض
Reason For Rejection,سبب الرفض
"""Are you sure you want to authorise Observation """" + observation +""""""","هل أنت متأكد أنك تريد اعتماد الملاحظة <b>"""" + observation +""""</b>"
Add Note,إضافة ملاحظة
Interpretation,التفسير
Findings,النتائج
Getting Health ID,<br><br><br>جارٍ الحصول على معرّف الصحة
"Please note, this may take a while""","<small>يرجى الملاحظة، قد يستغرق ذلك بعض الوقت</small>"""
"""Creating Health ID","""<br><br><br>جارٍ إنشاء معرّف الصحة <br>"
Patient Consent is required for ABHA creation,موافقة المريض مطلوبة لإنشاء ABHA
"Please note, this may take a while""","<small>يرجى الملاحظة، قد يستغرق ذلك بعض الوقت</small>"""
"""Verifying OTP...","""<br><br>جارٍ التحقق من OTP... <br>"
ABHA Address is required to search,عنوان ABHA مطلوب للبحث
Verification Failed,فشل التحقق
Verified,تم التحقق
Resending Aadhaar OTP...,<br><br>جارٍ إعادة إرسال OTP لآدهار...
Resend OTP,إعادة إرسال OTP
ABHA ID not Created,لم يتم إنشاء معرّف ABHA
ABHA ID created successfully,تم إنشاء معرّف ABHA بنجاح
Fetched existing ABHA of aadhaar provided,تم جلب ABHA موجود لرقم آدهار المُقدّم
Sending OTP...,جارٍ إرسال OTP...
Verifying...,<br><br>جارٍ التحقق...
Search,بحث
Scan,مسح
Consent Required,الموافقة مطلوبة
"""Failed to fetch health Data, Please try again later""",فشل جلب البيانات الصحية، يرجى المحاولة لاحقًا
"""OTP Generation Failed, Please try again later""",فشل إنشاء OTP، يرجى المحاولة لاحقًا
Generating OTP...,جارٍ إنشاء OTP...
Patient already exist,المريض موجود بالفعل
Searching...,<br><br>جاري البحث...
ABHA Addressent Required,عنوان ABHA مطلوب
Create ABHA,إنشاء ABHA
Verify ABHA Number,تحقق من رقم ABHA
Verify ABHA,تحقق من ABHA
You cannot Cancel Service Request in {} status,لا يمكنك إلغاء طلب الخدمة بحالة {}
My Account,حسابي
You are not linked to any patient. Please contact the administration.,أنت غير مرتبط بأي مريض. يرجى التواصل مع الإدارة.
Not permitted,غير مسموح
Page not found,الصفحة غير موجودة
This method is only meant for developer mode,هذه الطريقة مخصصة لوضع المطوّر فقط
gender,الجنس
observation,ملاحظة
Not allowed to print this document.,غير مسموح بطباعة هذا المستند.
encounter,زيارة
Payment Entry against Insurance Coverages {} via Insurance Claim {},قيد الدفع مقابل تغطيات التأمين {} عبر مطالبة التأمين {}
No Insurance Claim Coverages in Approved status to create Payment Entry,لا توجد تغطيات مطالبات تأمين بحالة معتمدة لإنشاء قيد دفع
Row #{1} No Approved Insurance Claim found for Journal Entry {0},الصف #{1}: لم يتم العثور على مطالبة تأمين معتمدة لقيد اليومية {0}
No Data,لا توجد بيانات
"""No matching Patient Insurance Coverages found, please check the filters""",لم يتم العثور على تغطيات تأمين مريض مطابقة، يرجى التحقق من عوامل التصفية
Company and Insurance Provider are mandatory,الشركة ومزوّد التأمين إلزاميان
Insurance Claim already submitted for Insurance Coverages{},تم تقديم مطالبة التأمين بالفعل لتغطيات التأمين<br>{}
"""Invalid Claim Amount, row #{}""",مبلغ مطالبة غير صالح، الصف #{}
"""Approved / Rejected / Paid Amount connot be more than Claim Amount, please update row #{}""",مبلغ المعتمد / المرفوض / المدفوع لا يمكن أن يكون أكثر من مبلغ المطالبة، يرجى تحديث الصف #{}
Reason Required,السبب مطلوب
"""Reason for Claim Rejection / Error is required, please update row #{}""",<b>سبب رفض/خطأ المطالبة</b> مطلوب، يرجى تحديث الصف #{}
"""Cannot Cancel, Insurance Claim already Completed / Partly Paid""",لا يمكن الإلغاء، مطالبة التأمين مكتملة بالفعل / مدفوعة جزئياً
Active Treatment Counselling {0} already exist for encounter {1},استشارة علاج نشطة {0} موجودة بالفعل للزيارة {1}
This is based on transactions against this Healthcare Practitioner.,هذا يعتمد على المعاملات الخاصة بهذا الممارس الصحي.
supplier,مورد
user,مستخدم
User {0} is already assigned to Healthcare Practitioner {1},المستخدم {0} مُعيّن بالفعل لممارس الرعاية الصحية {1}
User {0} is disabled,المستخدم {0} معطل
User {0} does not exist,المستخدم {0} غير موجود
Google Calendar Required,تقويم Google مطلوب
"please link {} or configure Default Google Calendar in {}""",يرجى ربط {} أو تهيئة تقويم Google الافتراضي في {}
"""Video conferencing enabled for {}, \","تم تفعيل مؤتمرات الفيديو لـ {}, \"
Outpatient Consulting Charge is mandatory if you are setting Outpatient Consulting Charge Item,رسوم استشارة العيادات الخارجية إلزامية إذا كنت تضبط صنف رسوم استشارة العيادات الخارجية
Inpatient Consulting Charge is mandatory if you are setting Inpatient Consulting Charge Item,رسوم استشارة المنوّمين  إلزامية إذا كنت تضبط صنف رسوم استشارة لمنوّم 
Patient Age To cannot be less than Patient Age From,عمر المريض إلى لا يمكن أن يكون أقل من عمر المريض من
Patient Age To cannot be less than 0,عمر المريض إلى لا يمكن أن يكون أقل من 0
Patient Age From cannot be less than 0,عمر المريض من لا يمكن أن يكون أقل من 0
No active Insurance Contract for Company {0} with Insurance Payor {1},لا يوجد عقد تأمين نشط للشركة {0} مع جهة الدفع التأمينية {1}
Error calculating Coverage for Insurance Coverage {}. Please verify Coverage for Item and then try saving Insurance Coverage again,خطأ في حساب التغطية لتغطية التأمين {}. يرجى التحقق من التغطية للصنف ثم حاول حفظ تغطية التأمين مرة أخرى
Item Price for Item {} not found,سعر الصنف للصنف {} غير موجود
Insurance Eligibility not found for Item {}.,لم يتم العثور على أهلية التأمين للصنف {}.
"""Invalid Service Template, Item is required to create Insurance Coverage""",قالب خدمة غير صالح، الصنف مطلوب لإنشاء تغطية التأمين
"""Invalid Service Template, Insurance Coverage can only be created for Templates marked Is Billable""",قالب خدمة غير صالح، لا يمكن إنشاء تغطية التأمين إلا للقوالب المعلّمة <b>قابل للفوترة</b>
You can only cancel Insurance Coverage with Status {},يمكنك إلغاء تغطية التأمين بحالة {} فقط
"""Insurance Coverage {} - {}Discount: {}%, Coverage: {}%""",تغطية التأمين {} - {}<br>الخصم: {}%، التغطية: {}%
"""Invalid Coverage Percent {}, cannot submit Insurance Coverage as Approved""",نسبة التغطية غير صالحة {}، لا يمكن تقديم تغطية التأمين كمعتمدة
Only Insurance Coverages in Status Approved or Rejected can be submitted,يمكن تقديم تغطيات التأمين التي حالتها <b>معتمد</b> أو <b>مرفوض</b> فقط
Invoiced Quantity and Invoiced Amount cannot be more than Claim Quantity {} and Claim Amount {},لا يمكن أن تكون الكمية المفوترة والمبلغ المفوتر أكثر من كمية المطالبة {} ومبلغ المطالبة {}
Invalid Insurance Policy,وثيقة تأمين غير صالحة
Patient Insurance Policy {} is not valid as on {},وثيقة تأمين المريض {} غير صالحة بتاريخ {}
Missing Insurance Policy,وثيقة التأمين مفقودة
Patient Insurance Policy is required to create Insurance Coverage,وثيقة تأمين المريض مطلوبة لإنشاء تغطية التأمين
Manual approval required for Insurance Coverage {},الاعتماد اليدوي مطلوب لتغطية التأمين {}
Configure a service Item for {0},قم بتهيئة صنف خدمة لـ {0}
Registration Fee cannot be negative or zero,رسوم التسجيل لا يمكن أن تكون سالبة أو صفر
Rejected Claims Expense account is not configured for Company {},حساب مصروف المطالبات المرفوضة غير مُهيأ للشركة {}
Customer {0} is created.,تم إنشاء العميل {0}.
Claims Receivable Account is mandatory for Company {},حساب مطالبات المدينة إلزامي للشركة {}
Rejected Claims Expense Account is entered more than once for same company,تم إدخال حساب مصروف المطالبات المرفوضة أكثر من مرة للشركة نفسها
Receivable Account is entered more than once for same Company,تم إدخال حساب المدينين أكثر من مرة للشركة نفسها
Sample Collection {0} has been created,تم إنشاء جمع العينة {0}
Collection Details:,تفاصيل الجمع:
Test :,اختبار :
Lab Test(s) {0} created successfully,تم إنشاء الاختبار/الاختبارات المخبرية {0} بنجاح
Insufficient Data,بيانات غير كافية
Sales Invoice or Patient Encounter is required to create Lab Tests,فاتورة المبيعات أو زيارة المريض مطلوبة لإنشاء اختبارات مخبرية
Lab Test {0} already created from service request {1},تم إنشاء الاختبار المخبري {0} بالفعل من طلب الخدمة {1}
Mandatory Results,نتائج إلزامية
Row #{0}: Please enter the result value for {1},الصف #{0}: يرجى إدخال قيمة النتيجة لـ {1}
Warning,تحذير
Row #{0}: Result for Secondary UOM not calculated,الصف #{0}: لم يتم حساب نتيجة وحدة القياس الثانوية
Therapy Session Charges: {0},رسوم جلسة العلاج: {0}
Therapy Session {0} already created from service request {1},تم إنشاء جلسة العلاج {0} بالفعل من طلب الخدمة {1}
Therapy Sessions Overlapping,تداخل جلسات العلاج
Therapy Session overlaps with {0},جلسة العلاج تتداخل مع {0}
